Publication Year;Number of Publications
2004;2
2006;1
2007;1
2010;1
2011;4
2012;3
2013;3
2014;5
2015;5
2016;6
2017;12
2018;7
2019;3
2020;1
2021;6
2022;5
2023;2
2024;1
2025;1
